genome_id,BioProject,assembly,assembly_level,assembly_type,biosample,date,genbank,genome_representation,genus,organism,refseq,refseq_category,refseq_genbank_identity,release_type,species,strain,submitter,tax_id
GCF_003712625.1,PRJNA295910,ASM371262v1,Contig,na,SAMN04088880,2018-11-06,GCA_003712625.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei (firmicutes),GCF_003712625.1,,yes,major,paracasei,FAM19404,University of Bern,1597
GCF_000949485.1,PRJNA274162,ASM94948v1,Contig,na,SAMN03323315,2015-03-10,GCA_000949485.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei (firmicutes),GCF_000949485.1,,yes,major,paracasei,DSM 20207,Shanghai Jiao Tong University,1597
GCF_015595005.1,PRJNA637878,ASM1559500v1,Scaffold,na,SAMN15533021,2020-11-18,GCA_015595005.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei (firmicutes),GCF_015595005.1,,yes,major,paracasei,1001270B_150601_G2,Icahn School of Medicine at Mount Sinai,1597
GCF_003434205.1,PRJNA482748,ASM343420v1,Scaffold,na,SAMN09736452,2018-08-31,GCA_003434205.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei (firmicutes),GCF_003434205.1,,yes,major,paracasei,AM33-2AC,BGI,1597
GCF_016890245.1,PRJNA699938,ASM1689024v1,Scaffold,na,SAMN17818118,2021-02-15,GCA_016890245.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei (firmicutes),GCF_016890245.1,,yes,major,paracasei,YT170,Sichuan Normal University,1597
GCF_002115655.1,PRJNA383564,ASM211565v1,Contig,na,SAMN06767179,2017-04-28,GCA_002115655.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei (firmicutes),GCF_002115655.1,,yes,major,paracasei,DmW_181,Brigham Young University,1597
GCF_000309785.1,PRJNA68487,ASM30978v1,Contig,na,SAMN02472013,2012-11-02,GCA_000309785.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei (firmicutes),GCF_000309785.1,,yes,major,paracasei,Lpc-37,"University of Wisconsin-Madison, Utah State University, and Danisco USA Inc.",1597
GCF_012931965.1,PRJNA436688,ASM1293196v1,Contig,na,SAMN08630016,2020-04-29,GCA_012931965.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei (firmicutes),GCF_012931965.1,,yes,major,paracasei,LPC37,DuPont Nutrition and Health,1597
GCF_001076935.1,PRJNA267549,ASM107693v1,Scaffold,na,SAMN03197720,2015-07-10,GCA_001076935.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei (firmicutes),GCF_001076935.1,,yes,major,paracasei,525_LPAR,University of Washington,1597
GCF_003712835.1,PRJNA295910,ASM371283v1,Scaffold,na,SAMN04088897,2018-11-06,GCA_003712835.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei (firmicutes),GCF_003712835.1,,yes,major,paracasei,FAM8407,University of Bern,1597
GCF_008369945.1,PRJNA563019,ASM836994v1,Scaffold,na,SAMN12661681,2019-09-10,GCA_008369945.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei (firmicutes),GCF_008369945.1,,yes,major,paracasei,DTA93,Padova university,1597
GCF_009679505.1,PRJNA544527,ASM967950v1,Contig,na,SAMN11946114,2019-11-20,GCA_009679505.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei (firmicutes),GCF_009679505.1,,yes,major,paracasei,BIOML-A1,Massachusetts Institute of Technology,1597
GCF_001982085.1,PRJNA343164,ASM198208v1,Scaffold,na,SAMN05717749,2017-02-01,GCA_001982085.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei (firmicutes),GCF_001982085.1,,yes,major,paracasei,RI-194,ETH Zurich,1597
GCF_019641395.1,PRJNA753089,ASM1964139v1,Contig,na,SAMN20672827,2021-08-16,GCA_019641395.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei (firmicutes),GCF_019641395.1,,yes,major,paracasei,LB113R,Lactobio A/S,1597
GCF_009823605.1,PRJNA597585,ASM982360v1,Scaffold,na,SAMN13679055,2019-12-31,GCA_009823605.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei (firmicutes),GCF_009823605.1,,yes,major,paracasei,DTA72,Padova university,1597
GCF_009679435.1,PRJNA544527,ASM967943v1,Scaffold,na,SAMN11946116,2019-11-20,GCA_009679435.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei (firmicutes),GCF_009679435.1,,yes,major,paracasei,BIOML-A3,Massachusetts Institute of Technology,1597
GCF_001858275.1,PRJNA328904,ASM185827v1,Contig,na,SAMN05383978,2016-11-01,GCA_001858275.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei (firmicutes),GCF_001858275.1,,yes,major,paracasei,L9D,University of Malaya,1597
GCF_013867595.1,PRJNA647640,ASM1386759v1,Contig,na,SAMN15579850,2020-07-28,GCA_013867595.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei (firmicutes),GCF_013867595.1,,yes,major,paracasei,s-16,China Center of Industrial Culture Collection,1597
GCF_003712455.1,PRJNA295910,ASM371245v1,Contig,na,SAMN04088871,2018-11-06,GCA_003712455.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei (firmicutes),GCF_003712455.1,,yes,major,paracasei,FAM18132,University of Bern,1597
GCF_004167215.1,PRJNA496358,ASM416721v1,Contig,na,SAMN10239551,2019-02-11,GCA_004167215.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei (firmicutes),GCF_004167215.1,,yes,major,paracasei,co_0103,Broad Institute,1597
GCF_009679495.1,PRJNA544527,ASM967949v1,Scaffold,na,SAMN11946115,2019-11-20,GCA_009679495.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei (firmicutes),GCF_009679495.1,,yes,major,paracasei,BIOML-A2,Massachusetts Institute of Technology,1597
GCF_015558835.1,PRJNA637878,ASM1555883v1,Scaffold,na,SAMN15533224,2020-11-17,GCA_015558835.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei (firmicutes),GCF_015558835.1,,yes,major,paracasei,1001217B_150727_F3,Icahn School of Medicine at Mount Sinai,1597
GCF_001076595.1,PRJNA267549,ASM107659v1,Scaffold,na,SAMN03197468,2015-07-10,GCA_001076595.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei (firmicutes),GCF_001076595.1,,yes,major,paracasei,275_LPAR,University of Washington,1597
GCF_003712425.1,PRJNA295910,ASM371242v1,Contig,na,SAMN04088868,2018-11-06,GCA_003712425.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei (firmicutes),GCF_003712425.1,,yes,major,paracasei,FAM18124,University of Bern,1597
GCF_003712445.1,PRJNA295910,ASM371244v1,Contig,na,SAMN04088870,2018-11-06,GCA_003712445.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei (firmicutes),GCF_003712445.1,,yes,major,paracasei,FAM18129,University of Bern,1597
GCF_002027405.1,PRJNA378122,ASM202740v1,Contig,na,SAMN06479973,2017-03-14,GCA_002027405.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei (firmicutes),GCF_002027405.1,,yes,major,paracasei,W16,The University of Hong Kong,1597
GCF_003712385.1,PRJNA295910,ASM371238v1,Scaffold,na,SAMN04088865,2018-11-06,GCA_003712385.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei (firmicutes),GCF_003712385.1,,yes,major,paracasei,FAM18119,University of Bern,1597
GCF_019990865.1,PRJNA761968,ASM1999086v1,Contig,na,SAMN21367938,2021-09-14,GCA_019990865.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei (firmicutes),GCF_019990865.1,,yes,major,paracasei,cek-R2,Veterinary Medical Research Institute,1597
GCF_015594965.1,PRJNA637878,ASM1559496v1,Scaffold,na,SAMN15532788,2020-11-18,GCA_015594965.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei (firmicutes),GCF_015594965.1,,yes,major,paracasei,1001713B170131_170501_F11,Icahn School of Medicine at Mount Sinai,1597
GCF_003712745.1,PRJNA295910,ASM371274v1,Scaffold,na,SAMN04088890,2018-11-06,GCA_003712745.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei (firmicutes),GCF_003712745.1,,yes,major,paracasei,FAM6012,University of Bern,1597
GCF_003712585.1,PRJNA295910,ASM371258v1,Scaffold,na,SAMN04088876,2018-11-06,GCA_003712585.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei (firmicutes),GCF_003712585.1,,yes,major,paracasei,FAM18172,University of Bern,1597
GCF_000827145.1,PRJNA263696,ASM82714v1,Scaffold,na,SAMN03105784,2015-01-21,GCA_000827145.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei (firmicutes),GCF_000827145.1,,yes,major,paracasei,KL1-Liu,Beijing University of Agriculture,1597
GCF_000014525.1,PRJNA402,ASM1452v1,Complete Genome,na,SAMN02598528,2006-10-13,GCA_000014525.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei ATCC 334 (firmicutes),GCF_000014525.1,,yes,major,paracasei,ATCC 334,"US DOE Joint Genome Institute (JGI), The Lactic Acid Bacteria Genome Consortium and Fidelity Systems Inc.",321967
GCF_000582665.1,PRJNA234304,ASM58266v1,Complete Genome,na,SAMN03081525,2014-02-14,GCA_000582665.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei N1115 (firmicutes),GCF_000582665.1,,yes,major,paracasei,N1115,"Shijiazhuang Junlebao Dairy Co., Ltd",1446494
GCF_000958505.1,PRJDB1560,ASM95850v1,Contig,na,SAMD00000557,2015-03-16,GCA_000958505.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei NRIC 1917 (firmicutes),GCF_000958505.1,,yes,major,paracasei,NRIC1917,Tokyo University of Agriculture,1435039
GCF_000829035.1,PRJDB478,ASM82903v1,Complete Genome,na,SAMD00010723,2013-08-14,GCA_000829035.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei subsp. paracasei (firmicutes),GCF_000829035.1,,yes,major,paracasei,JCM 8130,Kyushu University,47714
GCF_009739485.1,PRJNA388024,ASM973948v1,Complete Genome,na,SAMN07167770,2019-12-10,GCA_009739485.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei subsp. paracasei (firmicutes),GCF_009739485.1,,yes,major,paracasei,IBB3423,IBB PAS,47714
GCF_002813615.1,PRJNA327719,ASM281361v1,Complete Genome,na,SAMN05356834,2017-12-07,GCA_002813615.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei subsp. paracasei (firmicutes),GCF_002813615.1,,yes,major,paracasei,TMW 1.1434,Technische Universitaet Muenchen,47714
GCF_019175405.1,PRJNA716473,ASM1917540v1,Complete Genome,na,SAMN18436391,2021-07-08,GCA_019175405.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei subsp. paracasei (firmicutes),GCF_019175405.1,,yes,major,paracasei,GR0548,Food Industry Research and Development Institute,47714
GCF_004354655.1,PRJNA434388,ASM435465v1,Scaffold,na,SAMN08555498,2019-03-18,GCA_004354655.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei subsp. paracasei (firmicutes),GCF_004354655.1,,yes,major,paracasei,ATCC 25302,Carlsberg Research Laboratory,47714
GCF_007989125.1,PRJDB6070,ASM798912v1,Contig,na,SAMD00166241,2019-08-01,GCA_007989125.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei subsp. paracasei (firmicutes),GCF_007989125.1,,yes,major,paracasei,NBRC 15889,National Institute of Technology and Evaluation,47714
GCF_020992235.1,PRJNA779281,ASM2099223v1,Contig,na,SAMN23026586,2021-11-28,GCA_020992235.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei subsp. paracasei (firmicutes),GCF_020992235.1,,yes,major,paracasei,VKM B-1144,"Institute of Cell Biophysics Russian Academy of Sciences, PSCBR RAS",47714
GCF_015714835.1,PRJNA553330,ASM1571483v1,Contig,na,SAMN12234693,2020-12-02,GCA_015714835.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei subsp. paracasei (firmicutes),GCF_015714835.1,,yes,major,paracasei,K114,DuPont Nutrition & Biosciences,47714
GCF_003367655.1,PRJNA474823,ASM336765v1,Scaffold,na,SAMN09398938,2018-08-08,GCA_003367655.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei subsp. paracasei (firmicutes),GCF_003367655.1,,yes,major,paracasei,KMB_598,Faculty of Natural Sciences of the Comenius University in Bratislava,47714
GCF_002901165.2,PRJNA396987,ASM290116v2,Scaffold,na,SAMN07445234,2020-06-30,GCA_002901165.2,full,Lacticaseibacillus,Lacticaseibacillus paracasei subsp. paracasei (firmicutes),GCF_002901165.2,,yes,major,paracasei,NTU 101,National Taitung University,47714
GCF_000155515.2,PRJNA30077,ASM15551v2,Complete Genome,na,SAMN02463682,2013-08-21,GCA_000155515.2,full,Lacticaseibacillus,Lacticaseibacillus paracasei subsp. paracasei 8700:2 (firmicutes),GCF_000155515.2,,yes,major,paracasei,8700:2,Broad Institute,537973
GCF_001436385.1,PRJNA222257,ASM143638v1,Contig,na,SAMN02369433,2015-11-06,GCA_001436385.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei subsp. paracasei ATCC 25302 = DSM 5622 = JCM 8130 (firmicutes),GCF_001436385.1,,yes,major,paracasei,DSM 5622,Shanghai Majorbio,525337
GCF_000159495.1,PRJNA31513,ASM15949v1,Scaffold,na,SAMN00001470,2009-05-28,GCA_000159495.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei subsp. paracasei ATCC 25302 = DSM 5622 = JCM 8130 (firmicutes),GCF_000159495.1,,yes,major,paracasei,ATCC 25302,Baylor College of Medicine,525337
GCF_000410175.1,PRJNA178454,L.paracasei Lpp225.v.1,Contig,na,SAMN02469715,2013-06-11,GCA_000410175.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei subsp. paracasei Lpp225 (firmicutes),GCF_000410175.1,,yes,major,paracasei,Lpp225,Danone Research,1256225
GCF_000409895.1,PRJNA178455,Lpp226.v.1,Contig,na,SAMN02469716,2013-06-11,GCA_000409895.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei subsp. paracasei Lpp226 (firmicutes),GCF_000409895.1,,yes,major,paracasei,Lpp226,Danone Research,1256226
GCF_000409875.1,PRJNA178451,Lpp46.v.1,Contig,na,SAMN02469709,2013-06-11,GCA_000409875.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei subsp. paracasei Lpp46 (firmicutes),GCF_000409875.1,,yes,major,paracasei,Lpp46,Danone Research,1256222
GCF_000410035.1,PRJNA178441,ASM41003v1,Contig,na,SAMN02469726,2013-06-11,GCA_000410035.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei subsp. paracasei Lpp49 (firmicutes),GCF_000410035.1,,yes,major,paracasei,Lpp49,Danone Research,1256213
GCF_015476155.1,PRJNA674676,ASM1547615v1,Complete Genome,na,SAMN16668564,2020-11-15,GCA_015476155.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei subsp. tolerans (firmicutes),GCF_015476155.1,,yes,major,paracasei,MGB0625,World Institute of Kimchi,113557
GCF_015693945.1,PRJNA679905,ASM1569394v1,Complete Genome,na,SAMN16861159,2020-11-29,GCA_015693945.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei subsp. tolerans (firmicutes),GCF_015693945.1,,yes,major,paracasei,ZY-1,Nanjing Agricultural University,113557
GCF_016757695.1,PRJNA692643,ASM1675769v1,Complete Genome,na,SAMN17359333,2021-01-27,GCA_016757695.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei subsp. tolerans (firmicutes),GCF_016757695.1,,yes,major,paracasei,S-NB,Nanjing Agricultural University,113557
GCF_016757675.1,PRJNA692640,ASM1675767v1,Complete Genome,na,SAMN17359331,2021-01-27,GCA_016757675.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei subsp. tolerans (firmicutes),GCF_016757675.1,,yes,major,paracasei,S-NA5,Nanjing Agricultural University,113557
GCF_015476195.1,PRJNA674678,ASM1547619v1,Complete Genome,na,SAMN16668817,2020-11-15,GCA_015476195.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei subsp. tolerans (firmicutes),GCF_015476195.1,,yes,major,paracasei,MGB0761,World Institute of Kimchi,113557
GCF_015476135.1,PRJNA674668,ASM1547613v1,Complete Genome,na,SAMN16667758,2020-11-15,GCA_015476135.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei subsp. tolerans (firmicutes),GCF_015476135.1,,yes,major,paracasei,MGB0734,World Institute of Kimchi,113557
GCF_015476175.1,PRJNA674677,ASM1547617v1,Complete Genome,na,SAMN16668663,2020-11-15,GCA_015476175.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei subsp. tolerans (firmicutes),GCF_015476175.1,,yes,major,paracasei,MGB0747,World Institute of Kimchi,113557
GCF_015476075.1,PRJNA674457,ASM1547607v1,Complete Genome,na,SAMN16657550,2020-11-15,GCA_015476075.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei subsp. tolerans (firmicutes),GCF_015476075.1,,yes,major,paracasei,MGB0245,World Institute of Kimchi,113557
GCF_018286435.1,PRJNA720963,ASM1828643v1,Complete Genome,na,SAMN18869149,2021-05-06,GCA_018286435.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei subsp. tolerans (firmicutes),GCF_018286435.1,,yes,major,paracasei,2A,Howard University,113557
GCF_003957435.1,PRJNA422956,ASM395743v1,Complete Genome,na,SAMN08200884,2018-12-20,GCA_003957435.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei subsp. tolerans (firmicutes),GCF_003957435.1,,yes,major,paracasei,AO356,Korea Food Research Institute,113557
GCF_015319235.1,PRJNA674462,ASM1531923v1,Contig,na,SAMN16657553,2020-11-09,GCA_015319235.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei subsp. tolerans (firmicutes),GCF_015319235.1,,yes,major,paracasei,MGB0543,World Institute of Kimchi,113557
GCF_000409835.1,PRJNA178446,Lpl7v.1,Contig,na,SAMN02469714,2013-06-11,GCA_000409835.1,full,Lacticaseibacillus,Lacticaseibacillus paracasei subsp. tolerans Lpl7 (firmicutes),GCF_000409835.1,,yes,major,paracasei,Lpl7,Danone Research,1256230
GCF_003053265.1,PRJNA336518,ASM305326v1,Contig,na,SAMN05942006,2018-04-17,GCA_003053265.1,full,Lactobacillus,Lactobacillus sp. DS13_6 (firmicutes),GCF_003053265.1,,yes,major,sp.,DS13_6,USFDA,2163181
GCF_003062105.1,PRJNA336518,ASM306210v1,Contig,na,SAMN05942007,2018-04-14,GCA_003062105.1,full,Lactobacillus,Lactobacillus sp. DS15_6 (firmicutes),GCF_003062105.1,,yes,major,sp.,DS15_6,USFDA,2153226
GCF_003053225.1,PRJNA336518,ASM305322v1,Contig,na,SAMN05942008,2018-04-17,GCA_003053225.1,full,Lactobacillus,Lactobacillus sp. DS18_6 (firmicutes),GCF_003053225.1,,yes,major,sp.,DS18_6,USFDA,2163180
GCF_003062185.1,PRJNA336518,ASM306218v1,Contig,na,SAMN05942005,2018-04-14,GCA_003062185.1,full,Lactobacillus,Lactobacillus sp. DS1_6 (firmicutes),GCF_003062185.1,,yes,major,sp.,DS1_6,USFDA,2153230
GCF_003062065.1,PRJNA336518,ASM306206v1,Contig,na,SAMN05942010,2018-04-14,GCA_003062065.1,full,Lactobacillus,Lactobacillus sp. DS22_6 (firmicutes),GCF_003062065.1,,yes,major,sp.,DS22_6,USFDA,2153227
GCF_003062085.1,PRJNA336518,ASM306208v1,Contig,na,SAMN05942009,2018-04-14,GCA_003062085.1,full,Lactobacillus,Lactobacillus sp. DS2_6 (firmicutes),GCF_003062085.1,,yes,major,sp.,DS2_6,USFDA,2153225
GCF_003062145.1,PRJNA336518,ASM306214v1,Contig,na,SAMN05942011,2018-04-14,GCA_003062145.1,full,Lactobacillus,Lactobacillus sp. DS3_6 (firmicutes),GCF_003062145.1,,yes,major,sp.,DS3_6,USFDA,2153228
GCF_003062125.1,PRJNA336518,ASM306212v1,Contig,na,SAMN05942012,2018-04-14,GCA_003062125.1,full,Lactobacillus,Lactobacillus sp. DS9_6 (firmicutes),GCF_003062125.1,,yes,major,sp.,DS9_6,USFDA,2153229
GCF_001816065.1,PRJNA269832,ASM181606v1,Scaffold,na,SAMN03436219,2016-10-21,GCA_001816065.1,full,Lactobacillus,Lactobacillus sp. HMSC25A02 (firmicutes),GCF_001816065.1,,yes,major,sp.,HMSC25A02,The Genome Institute at Washington University,1581063
GCF_011754295.1,PRJNA611685,ASM1175429v1,Contig,na,SAMN14342363,2020-03-25,GCA_011754295.1,full,Lactobacillus,Lactobacillus sp. L.sR5 (firmicutes),GCF_011754295.1,,yes,major,sp.,L.sR5,City University of Hong Kong,2717813
GCF_014841055.1,PRJNA665551,ASM1484105v1,Complete Genome,na,SAMN16131617,2020-10-04,GCA_014841055.1,full,Ligilactobacillus,Ligilactobacillus salivarius (firmicutes),GCF_014841055.1,,yes,major,salivarius,ZLp4b,Lanzhou Veterinary Research Institute,1624
GCF_011045395.1,PRJNA434808,ASM1104539v1,Complete Genome,na,SAMN08575814,2020-03-02,GCA_011045395.1,full,Ligilactobacillus,Ligilactobacillus salivarius (firmicutes),GCF_011045395.1,,yes,major,salivarius,IBB3154,IBB PAS,1624
GCF_002162055.1,PRJNA381997,ASM216205v1,Complete Genome,na,SAMN06698339,2017-05-31,GCA_002162055.1,full,Ligilactobacillus,Ligilactobacillus salivarius (firmicutes),GCF_002162055.1,,yes,major,salivarius,ZLS006,Beijing Academy of Agriculture and Forestry Sciences,1624
GCF_003316955.1,PRJNA428127,ASM331695v1,Complete Genome,na,SAMN08281078,2018-07-13,GCA_003316955.1,full,Ligilactobacillus,Ligilactobacillus salivarius (firmicutes),GCF_003316955.1,,yes,major,salivarius,DJ-sa-01,Sungkyunkwan University,1624
GCF_021266585.1,PRJNA789063,ASM2126658v1,Complete Genome,na,SAMN24045799,2021-12-22,GCA_021266585.1,full,Ligilactobacillus,Ligilactobacillus salivarius (firmicutes),GCF_021266585.1,,yes,major,salivarius,BNS11,Chinese Academy of Agricultural Sciences,1624
GCF_000758365.1,PRJNA242957,ASM75836v1,Complete Genome,na,SAMN02711722,2014-09-26,GCA_000758365.1,full,Ligilactobacillus,Ligilactobacillus salivarius (firmicutes),GCF_000758365.1,,yes,major,salivarius,JCM1046,University College Cork,1624
GCF_900094615.1,PRJEB14980,ASM90009461v1,Complete Genome,na,SAMEA4359642,2016-09-30,GCA_900094615.1,full,Ligilactobacillus,Ligilactobacillus salivarius (firmicutes),GCF_900094615.1,Representative Genome,yes,major,salivarius,LPM01,Wellness Technologies Spa,1624
GCF_020535185.1,PRJNA770025,ASM2053518v1,Complete Genome,na,SAMN22202533,2021-10-20,GCA_020535185.1,full,Ligilactobacillus,Ligilactobacillus salivarius (firmicutes),GCF_020535185.1,,yes,major,salivarius,AR809,University of Shanghai for Science and Technology,1624
GCF_001723525.1,PRJNA326401,ASM172352v1,Complete Genome,na,SAMN05277751,2016-09-13,GCA_001723525.1,full,Ligilactobacillus,Ligilactobacillus salivarius (firmicutes),GCF_001723525.1,,yes,major,salivarius,CICC 23174,Acadamy of Military Medical Sciences,1624
GCF_013487885.1,PRJNA597131,ASM1348788v1,Complete Genome,na,SAMN13624825,2020-07-23,GCA_013487885.1,full,Ligilactobacillus,Ligilactobacillus salivarius (firmicutes),GCF_013487885.1,,yes,major,salivarius,2D,North Carolina State University,1624
GCF_002736025.1,PRJNA414675,ASM273602v1,Chromosome,na,SAMN07807134,2017-10-30,GCA_002736025.1,full,Ligilactobacillus,Ligilactobacillus salivarius (firmicutes),GCF_002736025.1,,yes,major,salivarius,BCRC 14759,Food Industry Research and Development Institute,1624
GCF_002735985.1,PRJNA414523,ASM273598v1,Chromosome,na,SAMN07792363,2017-10-30,GCA_002735985.1,full,Ligilactobacillus,Ligilactobacillus salivarius (firmicutes),GCF_002735985.1,,yes,major,salivarius,BCRC 12574,Food Industry Research and Development Institute,1624
GCF_002079585.1,PRJNA357984,ASM207958v1,Scaffold,na,SAMN06163261,2017-04-05,GCA_002079585.1,full,Ligilactobacillus,Ligilactobacillus salivarius (firmicutes),GCF_002079585.1,,yes,major,salivarius,DSM 20554,University College Cork,1624
GCF_902385835.1,PRJEB33885,UHGG_MGYG-HGUT-02324,Contig,na,SAMEA5851828,2019-08-15,GCA_902385835.1,full,Ligilactobacillus,Ligilactobacillus salivarius (firmicutes),GCF_902385835.1,,yes,major,salivarius,MGYG-HGUT-02324,EMG,1624
GCF_002738245.1,PRJNA414381,ASM273824v1,Scaffold,na,SAMN07787064,2017-10-31,GCA_002738245.1,full,Ligilactobacillus,Ligilactobacillus salivarius (firmicutes),GCF_002738245.1,,yes,major,salivarius,SGL 03,University of Bologna,1624
GCF_009865815.1,PRJNA561366,ASM986581v1,Contig,na,SAMN12616966,2020-01-13,GCA_009865815.1,full,Ligilactobacillus,Ligilactobacillus salivarius (firmicutes),GCF_009865815.1,,yes,major,salivarius,JSWX5_1,Jiangnan University,1624
GCF_008016885.1,PRJNA544176,ASM801688v1,Contig,na,SAMN11812293,2019-08-19,GCA_008016885.1,full,Ligilactobacillus,Ligilactobacillus salivarius (firmicutes),GCF_008016885.1,,yes,major,salivarius,C12,University of Surrey,1624
GCF_003129685.1,PRJNA449951,ASM312968v1,Contig,na,SAMN08923744,2018-05-16,GCA_003129685.1,full,Ligilactobacillus,Ligilactobacillus salivarius (firmicutes),GCF_003129685.1,,yes,major,salivarius,A3iob,CERELA,1624
GCF_009863785.1,PRJNA561366,ASM986378v1,Contig,na,SAMN12616907,2020-01-13,GCA_009863785.1,full,Ligilactobacillus,Ligilactobacillus salivarius (firmicutes),GCF_009863785.1,,yes,major,salivarius,FGSYC2M4_2,Jiangnan University,1624
GCF_016742875.1,PRJNA685183,ASM1674287v1,Scaffold,na,SAMN17079221,2021-01-21,GCA_016742875.1,full,Ligilactobacillus,Ligilactobacillus salivarius (firmicutes),GCF_016742875.1,,yes,major,salivarius,A19,University of Ottawa,1624
GCF_008016915.1,PRJNA544176,ASM801691v1,Contig,na,SAMN11812292,2019-08-19,GCA_008016915.1,full,Ligilactobacillus,Ligilactobacillus salivarius (firmicutes),GCF_008016915.1,,yes,major,salivarius,C2,University of Surrey,1624
GCF_019593595.1,PRJNA544254,ASM1959359v1,Contig,na,SAMN11831040,2021-08-13,GCA_019593595.1,full,Ligilactobacillus,Ligilactobacillus salivarius (firmicutes),GCF_019593595.1,,yes,major,salivarius,C3,University of Surrey,1624
GCF_009863625.1,PRJNA561366,ASM986362v1,Contig,na,SAMN12616913,2020-01-13,GCA_009863625.1,full,Ligilactobacillus,Ligilactobacillus salivarius (firmicutes),GCF_009863625.1,,yes,major,salivarius,FJLHD16M3,Jiangnan University,1624
GCF_009865885.1,PRJNA561366,ASM986588v1,Scaffold,na,SAMN12616961,2020-01-13,GCA_009865885.1,full,Ligilactobacillus,Ligilactobacillus salivarius (firmicutes),GCF_009865885.1,,yes,major,salivarius,FZJTZ69_1,Jiangnan University,1624
GCF_009863435.1,PRJNA561366,ASM986343v1,Contig,na,SAMN12616927,2020-01-13,GCA_009863435.1,full,Ligilactobacillus,Ligilactobacillus salivarius (firmicutes),GCF_009863435.1,,yes,major,salivarius,FNMGHLBE2_L7,Jiangnan University,1624
GCF_009863515.1,PRJNA561366,ASM986351v1,Contig,na,SAMN12616922,2020-01-13,GCA_009863515.1,full,Ligilactobacillus,Ligilactobacillus salivarius (firmicutes),GCF_009863515.1,,yes,major,salivarius,FJLHD9M1,Jiangnan University,1624
GCF_009865705.1,PRJNA561366,ASM986570v1,Contig,na,SAMN12616971,2020-01-13,GCA_009865705.1,full,Ligilactobacillus,Ligilactobacillus salivarius (firmicutes),GCF_009865705.1,,yes,major,salivarius,NT64_1,Jiangnan University,1624
